player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,assists_total,xa_total,key_passes_total,progressive_passes_total,pass_completion_pct,minutes,xa_per90,key_passes_per90,progressive_passes_per90,playmaker_score,year
Yazan Al-Naimat,Jordan,yazan alnaimat,12,10.8,1,4,10,2024-11-19,54,1.2,0.2222222222222222,,,,,78.0,,1.62,4.050000000000001,3.24,0.5209158608858392,2026
Cody Gakpo,Netherlands,cody gakpo,13,10.75,5,3,12,2025-11-17,43,1.0833333333333333,0.3023255813953488,,,,,78.0,,1.6125,4.03125,3.225,0.5189361743605739,2026
Andrej Kramarić,Croatia,andrej kramaric,13,10.7,1,1,11,2025-09-08,40,1.1818181818181819,0.325,,,,,78.0,,1.6049999999999998,4.012499999999999,3.2099999999999995,0.5169564878353088,2026
Marko Arnautović,Austria,marko arnautovic,13,10.7,4,1,6,2025-11-15,40,2.1666666666666665,0.325,,,,,78.0,,1.6049999999999998,4.012499999999999,3.2099999999999995,0.5169564878353088,2026
Scott McTominay,Scotland,scott mctominay,13,10.45,1,1,11,2025-11-18,40,1.1818181818181819,0.325,,,,,78.0,,1.5675,3.9187499999999997,3.135,0.5070580552089832,2026
Mikel Oyarzabal,Spain,mikel oyarzabal,12,9.35,3,1,10,2025-11-18,44,1.2,0.2727272727272727,,,,,78.0,,1.4024999999999999,3.5062499999999996,2.8049999999999997,0.4635049516531503,2026
Memphis Depay,Netherlands,memphis depay,11,9.25,3,1,9,2025-11-14,43,1.2222222222222223,0.2558139534883721,,,,,78.0,,1.3875,3.46875,2.775,0.45954557860262013,2026
Musa Al-Taamari,Jordan,musa altaamari,10,8.95,1,3,6,2025-03-20,54,1.6666666666666667,0.18518518518518517,,,,,78.0,,1.3424999999999998,3.3562499999999993,2.6849999999999996,0.44766745945102926,2026
Sardar Azmoun,Iran,sardar azmoun,10,8.8,0,2,8,2025-03-20,42,1.25,0.23809523809523808,,,,,78.0,,1.32,3.3000000000000003,2.64,0.44172839987523405,2026
Michael Gregoritsch,Austria,michael gregoritsch,11,8.75,0,1,11,2025-11-18,40,1.0,0.275,,,,,78.0,,1.3125,3.28125,2.625,0.4397487133499689,2026
Kerem Aktürkoğlu,Türkiye,kerem akturkoglu,11,8.25,0,1,8,2026-03-31,42,1.375,0.2619047619047619,,,,,78.0,,1.2375,3.09375,2.475,0.41995184809731756,2026
Marcel Sabitzer,Austria,marcel sabitzer,10,8.15,3,1,9,2025-09-09,40,1.1111111111111112,0.25,,,,,78.0,,1.2225,3.05625,2.445,0.41599247504678727,2026
Mikel Merino,Spain,mikel merino,10,8.15,0,1,7,2025-10-14,44,1.4285714285714286,0.22727272727272727,,,,,78.0,,1.2225,3.05625,2.445,0.41599247504678727,2026
Luis Díaz,Colombia,luis diaz,9,7.95,1,2,8,2025-06-10,45,1.125,0.2,,,,,78.0,,1.1925,2.9812499999999997,2.385,0.4080737289457268,2026
Lionel Messi,Argentina,lionel messi,9,7.8,0,1,5,2025-09-04,42,1.8,0.21428571428571427,,,,,78.0,,1.17,2.925,2.34,0.4021346693699315,2026
Alexander Sørloth,Norway,alexander srloth,10,7.75,0,0,9,2025-11-13,37,1.1111111111111112,0.2702702702702703,,,,,78.0,,1.1624999999999999,2.9062499999999996,2.3249999999999997,0.4001549828446662,2026
Ali Olwan,Jordan,ali olwan,9,7.6499999999999995,3,0,6,2025-06-05,54,1.5,0.16666666666666666,,,,,78.0,,1.1475,2.86875,2.295,0.39619560979413604,2026
Chris Wood,New Zealand,chris wood,9,7.6499999999999995,0,0,4,2025-03-21,36,2.25,0.25,,,,,78.0,,1.1475,2.86875,2.295,0.39619560979413604,2026
Kevin De Bruyne,Belgium,kevin de bruyne,9,7.3,3,1,6,2025-10-13,41,1.5,0.21951219512195122,,,,,78.0,,1.095,2.7375,2.19,0.38233780411728013,2026
Lee Kang-in,South Korea,lee kangin,8,7.25,0,3,6,2025-06-10,44,1.3333333333333333,0.18181818181818182,,,,,78.0,,1.0875,2.71875,2.175,0.380358117592015,2026
Edin Džeko,Bosnia and Herzegovina,edin dzeko,9,7.1499999999999995,0,0,8,2026-03-26,36,1.125,0.25,,,,,78.0,,1.0724999999999998,2.6812499999999995,2.1449999999999996,0.3763987445414847,2026
Jesús Ferreira,United States,jesus ferreira,7,7.0,1,7,3,2023-07-12,57,2.3333333333333335,0.12280701754385964,,,,,78.0,,1.05,2.625,2.1,0.3704596849656894,2026
Jordan Ayew,Ghana,jordan ayew,9,6.95,4,0,6,2025-10-08,39,1.5,0.23076923076923078,,,,,78.0,,1.0425,2.60625,2.085,0.36847999844042423,2026
Zeki Amdouni,Switzerland,zeki amdouni,9,6.8999999999999995,1,0,8,2024-11-15,42,1.125,0.21428571428571427,,,,,78.0,,1.035,2.5875,2.07,0.3665003119151591,2026
Mohamed Amoura,Algeria,mohamed amoura,8,6.8,2,0,4,2025-10-14,52,2.0,0.15384615384615385,,,,,78.0,,1.02,2.55,2.04,0.3625409388646288,2026
José Fajardo,Panama,jose fajardo,7,6.55,0,4,7,2025-11-13,58,1.0,0.1206896551724138,,,,,78.0,,0.9824999999999999,2.45625,1.9649999999999999,0.3526425062383032,2026
Darwin Núñez,Uruguay,darwin nunez,7,6.25,1,2,6,2024-06-27,42,1.1666666666666667,0.16666666666666666,,,,,78.0,,0.9375,2.34375,1.875,0.3407643870867124,2026
Duckens Nazon,Haiti,duckens nazon,7,6.1,1,1,5,2025-10-09,37,1.4,0.1891891891891892,,,,,78.0,,0.9149999999999999,2.2874999999999996,1.8299999999999998,0.33482532751091704,2026
Donyell Malen,Netherlands,donyell malen,7,6.0,0,2,5,2025-11-17,43,1.4,0.16279069767441862,,,,,78.0,,0.8999999999999999,2.25,1.7999999999999998,0.3308659544603868,2026
Tomáš Souček,Czechia,tomas soucek,7,5.85,2,1,7,2025-11-17,40,1.0,0.175,,,,,78.0,,0.8775,2.1937499999999996,1.755,0.3249268948845915,2026
Sadio Mané,Senegal,sadio mane,8,5.75,1,0,6,2026-01-14,48,1.3333333333333333,0.16666666666666666,,,,,78.0,,0.8624999999999999,2.15625,1.7249999999999999,0.3209675218340612,2026
Christoph Baumgartner,Austria,christoph baumgartner,7,5.6,0,1,6,2025-06-10,40,1.1666666666666667,0.175,,,,,78.0,,0.84,2.1,1.68,0.31502846225826575,2026
Dani Olmo,Spain,dani olmo,6,5.55,0,3,6,2025-11-18,44,1.0,0.13636363636363635,,,,,78.0,,0.8324999999999999,2.08125,1.6649999999999998,0.31304877573300066,2026
Takumi Minamino,Japan,takumi minamino,6,5.4,0,2,4,2024-11-15,41,1.5,0.14634146341463414,,,,,78.0,,0.81,2.0250000000000004,1.62,0.3071097161572053,2026
Breel Embolo,Switzerland,breel embolo,6,5.4,0,2,5,2025-11-15,42,1.2,0.14285714285714285,,,,,78.0,,0.81,2.0250000000000004,1.62,0.3071097161572053,2026
Julián Alvarez,Argentina,julian alvarez,6,5.4,0,2,6,2025-06-05,42,1.0,0.14285714285714285,,,,,78.0,,0.81,2.0250000000000004,1.62,0.3071097161572053,2026
Abbosbek Fayzullaev,Uzbekistan,abbosbek fayzullaev,6,5.4,0,2,5,2025-03-25,45,1.2,0.13333333333333333,,,,,78.0,,0.81,2.0250000000000004,1.62,0.3071097161572053,2026
Bukayo Saka,England,bukayo saka,6,5.25,0,1,4,2025-11-13,44,1.5,0.13636363636363635,,,,,78.0,,0.7875,1.96875,1.575,0.30117065658140985,2026
Patrik Schick,Czechia,patrik schick,6,5.25,1,1,5,2026-03-26,40,1.2,0.15,,,,,78.0,,0.7875,1.96875,1.575,0.30117065658140985,2026
Florian Wirtz,Germany,florian wirtz,7,5.25,0,2,6,2025-09-07,43,1.1666666666666667,0.16279069767441862,,,,,78.0,,0.7875,1.96875,1.575,0.30117065658140985,2026
Firas Al-Buraikan,Saudi Arabia,firas alburaikan,6,5.25,1,1,4,2025-10-08,60,1.5,0.1,,,,,78.0,,0.7875,1.96875,1.575,0.30117065658140985,2026
Mohammad Mohebi,Iran,mohammad mohebi,6,5.25,0,1,5,2025-03-20,42,1.2,0.14285714285714285,,,,,78.0,,0.7875,1.96875,1.575,0.30117065658140985,2026
Kusini Yengi,Australia,kusini yengi,6,5.1,1,0,4,2024-11-19,41,1.5,0.14634146341463414,,,,,78.0,,0.7649999999999999,1.9124999999999996,1.5299999999999998,0.2952315970056145,2026
Enner Valencia,Ecuador,enner valencia,6,5.1,2,0,5,2025-09-09,42,1.2,0.14285714285714285,,,,,78.0,,0.7649999999999999,1.9124999999999996,1.5299999999999998,0.2952315970056145,2026
Koki Ogawa,Japan,koki ogawa,6,5.1,0,0,4,2024-11-19,41,1.5,0.14634146341463414,,,,,78.0,,0.7649999999999999,1.9124999999999996,1.5299999999999998,0.2952315970056145,2026
Bernardo Silva,Portugal,bernardo silva,6,5.0,0,1,6,2025-09-09,43,1.0,0.13953488372093023,,,,,78.0,,0.75,1.875,1.5,0.2912722239550843,2026
Álvaro Morata,Spain,alvaro morata,6,5.0,0,1,4,2024-10-15,44,1.5,0.13636363636363635,,,,,78.0,,0.75,1.875,1.5,0.2912722239550843,2026
Ayoub El Kaabi,Morocco,ayoub el kaabi,7,4.9,0,0,4,2025-12-29,54,1.75,0.12962962962962962,,,,,78.0,,0.735,1.8375,1.47,0.287312850904554,2026
João Félix,Portugal,joao felix,6,4.85,0,0,5,2025-09-06,43,1.2,0.13953488372093023,,,,,78.0,,0.7274999999999999,1.8187499999999999,1.4549999999999998,0.2853331643792888,2026
Jamal Musiala,Germany,jamal musiala,6,4.8,0,3,6,2025-03-23,43,1.0,0.13953488372093023,,,,,78.0,,0.72,1.7999999999999998,1.44,0.28335347785402376,2026
Wout Weghorst,Netherlands,wout weghorst,6,4.75,1,1,6,2024-11-16,43,1.0,0.13953488372093023,,,,,78.0,,0.7125,1.78125,1.425,0.2813737913287586,2026
Trézéguet,Egypt,trezeguet,6,4.75,0,0,4,2024-06-06,50,1.5,0.12,,,,,78.0,,0.7125,1.78125,1.425,0.2813737913287586,2026
Frantzdy Pierrot,Haiti,frantzdy pierrot,5,4.7,0,3,5,2025-11-13,37,1.0,0.13513513513513514,,,,,78.0,,0.705,1.7625,1.41,0.27939410480349347,2026
Joselu,Spain,joselu,6,4.6,0,0,5,2024-09-08,44,1.2,0.13636363636363635,,,,,78.0,,0.69,1.7249999999999999,1.38,0.2754347317529632,2026
Jackson Irvine,Australia,jackson irvine,5,4.55,0,2,4,2025-03-25,41,1.25,0.12195121951219512,,,,,78.0,,0.6825,1.70625,1.365,0.27345504522769815,2026
Mehdi Ghayedi,Iran,mehdi ghayedi,5,4.55,0,2,5,2024-11-14,42,1.0,0.11904761904761904,,,,,78.0,,0.6825,1.70625,1.365,0.27345504522769815,2026
Craig Goodwin,Australia,craig goodwin,5,4.55,0,2,4,2024-10-10,41,1.25,0.12195121951219512,,,,,78.0,,0.6825,1.70625,1.365,0.27345504522769815,2026
Takefusa Kubo,Japan,takefusa kubo,5,4.4,0,1,5,2025-06-10,41,1.0,0.12195121951219512,,,,,78.0,,0.66,1.6500000000000001,1.32,0.2675159856519027,2026
Hwang Hee-chan,South Korea,hwang heechan,5,4.4,1,1,5,2025-03-20,44,1.0,0.11363636363636363,,,,,78.0,,0.66,1.6500000000000001,1.32,0.2675159856519027,2026
Saleh Al-Shehri,Saudi Arabia,saleh alshehri,5,4.4,2,1,3,2025-06-15,60,1.6666666666666667,0.08333333333333333,,,,,78.0,,0.66,1.6500000000000001,1.32,0.2675159856519027,2026
Ruben Vargas,Switzerland,ruben vargas,5,4.3999999999999995,0,1,5,2025-11-18,42,1.0,0.11904761904761904,,,,,78.0,,0.6599999999999999,1.65,1.3199999999999998,0.2675159856519027,2026
Thelo Aasgaard,Norway,thelo aasgaard,5,4.25,1,0,2,2025-09-09,37,2.5,0.13513513513513514,,,,,78.0,,0.6375,1.59375,1.275,0.2615769260761073,2026
Václav Černý,Czechia,vaclav cerny,5,4.25,0,0,4,2025-09-05,40,1.25,0.125,,,,,78.0,,0.6375,1.59375,1.275,0.2615769260761073,2026
Lee Jae-sung,South Korea,lee jaesung,5,4.25,0,0,5,2025-06-10,44,1.0,0.11363636363636363,,,,,78.0,,0.6375,1.59375,1.275,0.2615769260761073,2026
Randal Kolo Muani,France,randal kolo muani,6,4.25,1,1,5,2025-06-05,43,1.2,0.13953488372093023,,,,,78.0,,0.6375,1.59375,1.275,0.2615769260761073,2026
João Cancelo,Portugal,joao cancelo,5,4.25,0,0,5,2025-09-09,43,1.0,0.11627906976744186,,,,,78.0,,0.6375,1.59375,1.275,0.2615769260761073,2026
Eldor Shomurodov,Uzbekistan,eldor shomurodov,5,4.25,0,0,5,2025-06-10,45,1.0,0.1111111111111111,,,,,78.0,,0.6375,1.59375,1.275,0.2615769260761073,2026
Daichi Kamada,Japan,daichi kamada,5,4.25,0,0,4,2025-06-10,41,1.25,0.12195121951219512,,,,,78.0,,0.6375,1.59375,1.275,0.2615769260761073,2026
Jérémy Doku,Belgium,jeremy doku,5,4.25,0,0,3,2025-11-18,41,1.6666666666666667,0.12195121951219512,,,,,78.0,,0.6375,1.59375,1.275,0.2615769260761073,2026
Gervane Kastaneer,Curaçao,gervane kastaneer,5,4.25,0,0,3,2025-06-10,37,1.6666666666666667,0.13513513513513514,,,,,78.0,,0.6375,1.59375,1.275,0.2615769260761073,2026
Youri Tielemans,Belgium,youri tielemans,5,4.15,1,1,4,2025-09-04,41,1.25,0.12195121951219512,,,,,78.0,,0.6225,1.5562500000000001,1.245,0.2576175530255771,2026
Baghdad Bounedjah,Algeria,baghdad bounedjah,6,4.05,0,0,4,2025-09-04,52,1.5,0.11538461538461539,,,,,78.0,,0.6074999999999999,1.5187499999999998,1.2149999999999999,0.2536581799750468,2026
Nico Williams,Spain,nico williams,5,4.05,0,2,5,2025-06-05,44,1.0,0.11363636363636363,,,,,78.0,,0.6074999999999999,1.5187499999999998,1.2149999999999999,0.2536581799750468,2026
Konrad Laimer,Austria,konrad laimer,5,4.0,0,0,5,2025-10-09,40,1.0,0.125,,,,,78.0,,0.6,1.5,1.2,0.25167849344978166,2026
Ivan Perišić,Croatia,ivan perisic,5,4.0,1,0,5,2025-11-17,40,1.0,0.125,,,,,78.0,,0.6,1.5,1.2,0.25167849344978166,2026
Jonathan David,Canada,jonathan david,4,4.0,1,4,4,2025-06-29,46,1.0,0.08695652173913043,,,,,78.0,,0.6,1.5,1.2,0.25167849344978166,2026
Arda Güler,Türkiye,arda guler,5,3.9,0,1,5,2025-10-11,42,1.0,0.11904761904761904,,,,,78.0,,0.585,1.4625,1.17,0.24771912039925142,2026
Xavi Simons,Netherlands,xavi simons,5,3.9,1,1,5,2025-11-17,43,1.0,0.11627906976744186,,,,,78.0,,0.585,1.4625,1.17,0.24771912039925142,2026
Cédric Bakambu,Congo DR,cedric bakambu,5,3.9,0,0,4,2025-12-27,48,1.25,0.10416666666666667,,,,,78.0,,0.585,1.4625,1.17,0.24771912039925142,2026
Elijah Just,New Zealand,elijah just,5,3.9,0,0,5,2025-03-24,36,1.0,0.1388888888888889,,,,,78.0,,0.585,1.4625,1.17,0.24771912039925142,2026
Hassan Al-Haydos,Qatar,hassan alhaydos,4,3.85,0,3,4,2024-02-03,53,1.0,0.07547169811320754,,,,,78.0,,0.5775,1.44375,1.155,0.2457394338739863,2026
John McGinn,Scotland,john mcginn,5,3.75,0,0,5,2024-11-18,40,1.0,0.125,,,,,78.0,,0.5625,1.40625,1.125,0.24178006082345607,2026
Jhon Córdoba,Colombia,jhon cordoba,4,3.7,0,2,4,2025-09-09,45,1.0,0.08888888888888889,,,,,78.0,,0.555,1.3875000000000002,1.11,0.23980037429819093,2026
Ben Waine,New Zealand,ben waine,6,3.7,1,0,4,2024-11-18,36,1.5,0.16666666666666666,,,,,78.0,,0.555,1.3875000000000002,1.11,0.23980037429819093,2026
Martin Boyle,Australia,martin boyle,4,3.7,2,2,4,2025-03-20,41,1.0,0.0975609756097561,,,,,78.0,,0.555,1.3875000000000002,1.11,0.23980037429819093,2026
Merih Demiral,Türkiye,merih demiral,4,3.7,0,2,2,2025-10-14,42,2.0,0.09523809523809523,,,,,78.0,,0.555,1.3875000000000002,1.11,0.23980037429819093,2026
Hidemasa Morita,Japan,hidemasa morita,4,3.55,0,1,3,2024-11-15,41,1.3333333333333333,0.0975609756097561,,,,,78.0,,0.5325,1.3312499999999998,1.065,0.23386131472239552,2026
Ritsu Dōan,Japan,ritsu doan,4,3.55,0,1,4,2024-06-11,41,1.0,0.0975609756097561,,,,,78.0,,0.5325,1.3312499999999998,1.065,0.23386131472239552,2026
Julio Enciso,Paraguay,julio enciso,4,3.55,1,1,4,2025-06-05,36,1.0,0.1111111111111111,,,,,78.0,,0.5325,1.3312499999999998,1.065,0.23386131472239552,2026
Yoane Wissa,Congo DR,yoane wissa,5,3.55,1,0,5,2025-09-09,48,1.0,0.10416666666666667,,,,,78.0,,0.5325,1.3312499999999998,1.065,0.23386131472239552,2026
James Rodríguez,Colombia,james rodriguez,4,3.55,2,1,4,2025-09-04,45,1.0,0.08888888888888889,,,,,78.0,,0.5325,1.3312499999999998,1.065,0.23386131472239552,2026
Mohanad Ali,Iraq,mohanad ali,4,3.55,0,1,4,2025-11-18,51,1.0,0.0784313725490196,,,,,78.0,,0.5325,1.3312499999999998,1.065,0.23386131472239552,2026
Tijjani Reijnders,Netherlands,tijjani reijnders,5,3.5,0,0,5,2025-11-17,43,1.0,0.11627906976744186,,,,,78.0,,0.525,1.3125,1.05,0.2318816281971304,2026
Antonio Nusa,Norway,antonio nusa,5,3.5,0,0,4,2025-11-16,37,1.25,0.13513513513513514,,,,,78.0,,0.525,1.3125,1.05,0.2318816281971304,2026
Denzel Dumfries,Netherlands,denzel dumfries,5,3.5,0,0,5,2025-09-04,43,1.0,0.11627906976744186,,,,,78.0,,0.525,1.3125,1.05,0.2318816281971304,2026
Pavel Šulc,Czechia,pavel sulc,5,3.5,0,0,4,2026-03-31,40,1.25,0.125,,,,,78.0,,0.525,1.3125,1.05,0.2318816281971304,2026
Luis Suárez,Colombia,luis suarez,4,3.4,0,0,1,2025-09-09,45,4.0,0.08888888888888889,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Dailon Livramento,Cape Verde,dailon livramento,4,3.4,0,0,3,2025-10-13,43,1.3333333333333333,0.09302325581395349,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Nick Woltemade,Germany,nick woltemade,4,3.4,0,0,3,2025-11-17,43,1.3333333333333333,0.09302325581395349,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Antonio Sanabria,Paraguay,antonio sanabria,4,3.4,0,0,3,2024-11-14,36,1.3333333333333333,0.1111111111111111,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Oh Hyeon-gyu,South Korea,oh hyeongyu,4,3.4,0,0,4,2025-06-10,44,1.0,0.09090909090909091,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Oston Urunov,Uzbekistan,oston urunov,4,3.4,0,0,4,2024-09-10,45,1.0,0.08888888888888889,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Pape Matar Sarr,Senegal,pape matar sarr,4,3.4,0,0,4,2025-09-09,48,1.0,0.08333333333333333,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Granit Xhaka,Switzerland,granit xhaka,4,3.4,2,0,4,2025-11-15,42,1.0,0.09523809523809523,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Mohamed Ali Ben Romdhane,Tunisia,mohamed ali ben romdhane,4,3.4,2,0,3,2025-10-10,49,1.3333333333333333,0.08163265306122448,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Ladislav Krejčí,Czechia,ladislav krejci,4,3.4,0,0,4,2026-03-31,40,1.0,0.1,,,,,78.0,,0.51,1.275,1.02,0.22792225514660014,2026
Brahim Díaz,Morocco,brahim diaz,6,3.35,2,0,6,2026-01-09,54,1.0,0.1111111111111111,,,,,78.0,,0.5025,1.2562499999999999,1.005,0.225942568621335,2026
Remo Freuler,Switzerland,remo freuler,4,3.3,0,1,4,2024-10-15,42,1.0,0.09523809523809523,,,,,78.0,,0.49499999999999994,1.2374999999999998,0.9899999999999999,0.2239628820960699,2026
Alexander Isak,Sweden,alexander isak,5,3.25,0,0,4,2024-11-16,40,1.25,0.125,,,,,78.0,,0.4875,1.21875,0.975,0.2219831955708048,2026
Habib Diallo,Senegal,habib diallo,5,3.2,0,0,5,2025-12-30,48,1.0,0.10416666666666667,,,,,78.0,,0.48,1.2,0.96,0.22000350904553964,2026
Fabián Ruiz,Spain,fabian ruiz,4,3.2,0,2,3,2024-09-08,44,1.3333333333333333,0.09090909090909091,,,,,78.0,,0.48,1.2,0.96,0.22000350904553964,2026
Kosta Barbarouses,New Zealand,kosta barbarouses,5,3.2,0,0,4,2025-03-24,36,1.25,0.1388888888888889,,,,,78.0,,0.48,1.2,0.96,0.22000350904553964,2026
Kai Havertz,Germany,kai havertz,4,3.2,3,2,4,2024-11-16,43,1.0,0.09302325581395349,,,,,78.0,,0.48,1.2,0.96,0.22000350904553964,2026
Mario Pašalić,Croatia,mario pasalic,4,3.15,0,0,4,2025-06-06,40,1.0,0.1,,,,,78.0,,0.4725,1.18125,0.945,0.2180238225202745,2026
Leandro Trossard,Belgium,leandro trossard,4,3.15,0,0,4,2025-10-13,41,1.0,0.0975609756097561,,,,,78.0,,0.4725,1.18125,0.945,0.2180238225202745,2026
Kenan Yıldız,Türkiye,kenan yldz,4,3.15,0,0,3,2025-10-14,42,1.3333333333333333,0.09523809523809523,,,,,78.0,,0.4725,1.18125,0.945,0.2180238225202745,2026
Ante Budimir,Croatia,ante budimir,4,3.15,1,0,4,2025-06-09,40,1.0,0.1,,,,,78.0,,0.4725,1.18125,0.945,0.2180238225202745,2026
Théo Bongonda,Congo DR,theo bongonda,4,3.0500000000000003,0,0,4,2025-12-23,48,1.0,0.08333333333333333,,,,,78.0,,0.4575,1.14375,0.915,0.21406444946974426,2026
Ismaïla Sarr,Senegal,ismaila sarr,4,3.05,0,0,3,2025-10-10,48,1.3333333333333333,0.08333333333333333,,,,,78.0,,0.45749999999999996,1.1437499999999998,0.9149999999999999,0.21406444946974423,2026
Ismael Saibari,Morocco,ismael saibari,4,3.05,0,0,3,2026-01-09,54,1.3333333333333333,0.07407407407407407,,,,,78.0,,0.45749999999999996,1.1437499999999998,0.9149999999999999,0.21406444946974423,2026
Seko Fofana,Ivory Coast,seko fofana,4,3.05,0,0,4,2024-06-07,47,1.0,0.0851063829787234,,,,,78.0,,0.45749999999999996,1.1437499999999998,0.9149999999999999,0.21406444946974423,2026
Hakan Çalhanoğlu,Türkiye,hakan calhanoglu,4,3.05,3,1,4,2025-11-15,42,1.0,0.09523809523809523,,,,,78.0,,0.45749999999999996,1.1437499999999998,0.9149999999999999,0.21406444946974423,2026
Luka Modrić,Croatia,luka modric,4,3.05,2,1,4,2025-06-09,40,1.0,0.1,,,,,78.0,,0.45749999999999996,1.1437499999999998,0.9149999999999999,0.21406444946974423,2026
Raúl Jiménez,Mexico,raul jimenez,3,3.0,0,3,3,2025-07-06,60,1.0,0.05,,,,,78.0,,0.44999999999999996,1.125,0.8999999999999999,0.21208476294447912,2026
César Montes,Mexico,cesar montes,3,3.0,0,3,2,2025-06-18,60,1.5,0.05,,,,,78.0,,0.44999999999999996,1.125,0.8999999999999999,0.21208476294447912,2026
Brandon Vázquez,United States,brandon vazquez,3,3.0,0,3,3,2023-07-09,57,1.0,0.05263157894736842,,,,,78.0,,0.44999999999999996,1.125,0.8999999999999999,0.21208476294447912,2026
Tajon Buchanan,Canada,tajon buchanan,3,3.0,0,3,2,2025-06-24,46,1.5,0.06521739130434782,,,,,78.0,,0.44999999999999996,1.125,0.8999999999999999,0.21208476294447912,2026
Tomás Rodríguez,Panama,tomas rodriguez,3,3.0,0,3,3,2025-06-24,58,1.0,0.05172413793103448,,,,,78.0,,0.44999999999999996,1.125,0.8999999999999999,0.21208476294447912,2026
Malik Tillman,United States,malik tillman,3,3.0,0,3,2,2025-06-22,57,1.5,0.05263157894736842,,,,,78.0,,0.44999999999999996,1.125,0.8999999999999999,0.21208476294447912,2026
Diego Luna,United States,diego luna,3,3.0,0,3,2,2025-07-02,57,1.5,0.05263157894736842,,,,,78.0,,0.44999999999999996,1.125,0.8999999999999999,0.21208476294447912,2026
Maxim De Cuyper,Belgium,maxim de cuyper,4,2.9,0,0,4,2025-09-04,41,1.0,0.0975609756097561,,,,,78.0,,0.435,1.0875,0.87,0.20812538989394885,2026
Joshua Kimmich,Germany,joshua kimmich,4,2.9,2,0,3,2025-10-10,43,1.3333333333333333,0.09302325581395349,,,,,78.0,,0.435,1.0875,0.87,0.20812538989394885,2026
Tomáš Chorý,Czechia,tomas chory,4,2.9,0,0,3,2025-11-17,40,1.3333333333333333,0.1,,,,,78.0,,0.435,1.0875,0.87,0.20812538989394885,2026
Adrien Rabiot,France,adrien rabiot,4,2.9,0,0,3,2025-10-10,43,1.3333333333333333,0.09302325581395349,,,,,78.0,,0.435,1.0875,0.87,0.20812538989394885,2026
Michael Olise,France,michael olise,4,2.9,0,0,4,2025-11-13,43,1.0,0.09302325581395349,,,,,78.0,,0.435,1.0875,0.87,0.20812538989394885,2026
Declan Rice,England,declan rice,4,2.9,0,0,4,2025-09-06,44,1.0,0.09090909090909091,,,,,78.0,,0.435,1.0875,0.87,0.20812538989394885,2026
Azizbek Turgunboev,Uzbekistan,azizbek turgunboev,3,2.85,0,2,3,2025-06-10,45,1.0,0.06666666666666667,,,,,78.0,,0.4275,1.06875,0.855,0.20614570336868374,2026
Mostafa Mohamed,Egypt,mostafa mohamed,5,2.85,1,0,5,2024-01-28,50,1.0,0.1,,,,,78.0,,0.4275,1.06875,0.855,0.20614570336868374,2026
Eduardo Guerrero,Panama,eduardo guerrero,3,2.85,1,2,3,2025-06-16,58,1.0,0.05172413793103448,,,,,78.0,,0.4275,1.06875,0.855,0.20614570336868374,2026
Jacob Shaffelburg,Canada,jacob shaffelburg,3,2.85,0,2,3,2024-07-05,46,1.0,0.06521739130434782,,,,,78.0,,0.4275,1.06875,0.855,0.20614570336868374,2026
Franck Kessié,Ivory Coast,franck kessie,4,2.7,1,0,4,2025-10-14,47,1.0,0.0851063829787234,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Federico Valverde,Uruguay,federico valverde,3,2.7,0,1,3,2024-11-19,42,1.0,0.07142857142857142,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Don Deedson Louicius,Haiti,don deedson louicius,3,2.7,0,1,3,2025-11-18,37,1.0,0.08108108108108109,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Sébastien Haller,Ivory Coast,sebastien haller,4,2.7,1,0,4,2025-03-24,47,1.0,0.0851063829787234,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Cenk Tosun,Türkiye,cenk tosun,3,2.7,0,1,2,2024-06-26,42,1.5,0.07142857142857142,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Nicolas Jackson,Senegal,nicolas jackson,4,2.7,1,0,3,2025-12-23,48,1.3333333333333333,0.08333333333333333,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Oswin Appollis,South Africa,oswin appollis,4,2.7,1,0,4,2025-12-29,52,1.0,0.07692307692307693,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
