player,team,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,intl_goal_rate,team_intl_matches,intl_goals_per_team_match,player_norm
Bukayo Saka,England,6,5.25,0,1,4,2025-11-13,1.5,42,0.14285714285714285,bukayo saka
Patrik Schick,Czechia,6,5.25,1,1,5,2026-03-26,1.2,40,0.15,patrik schick
Florian Wirtz,Germany,7,5.25,0,2,6,2025-09-07,1.1666666666666667,42,0.16666666666666666,florian wirtz
Kusini Yengi,Australia,6,5.1,1,0,4,2024-11-19,1.5,40,0.15,kusini yengi
Enner Valencia,Ecuador,6,5.1,2,0,5,2025-09-09,1.2,41,0.14634146341463414,enner valencia
Bernardo Silva,Portugal,6,5.0,0,1,6,2025-09-09,1.0,41,0.14634146341463414,bernardo silva
Álvaro Morata,Spain,6,5.0,0,1,4,2024-10-15,1.5,43,0.13953488372093023,alvaro morata
Ayoub El Kaabi,Morocco,7,4.9,0,0,4,2025-12-29,1.75,53,0.1320754716981132,ayoub el kaabi
João Félix,Portugal,6,4.85,0,0,5,2025-09-06,1.2,41,0.14634146341463414,joao felix
Jamal Musiala,Germany,6,4.8,0,3,6,2025-03-23,1.0,42,0.14285714285714285,jamal musiala
Trézéguet,Egypt,6,4.75,0,0,4,2024-06-06,1.5,49,0.12244897959183673,trezeguet
Wout Weghorst,Netherlands,6,4.75,1,1,6,2024-11-16,1.0,42,0.14285714285714285,wout weghorst
Frantzdy Pierrot,Haiti,5,4.7,0,3,5,2025-11-13,1.0,36,0.1388888888888889,frantzdy pierrot
Joselu,Spain,6,4.6,0,0,5,2024-09-08,1.2,43,0.13953488372093023,joselu
Mehdi Ghayedi,Iran,5,4.55,0,2,5,2024-11-14,1.0,42,0.11904761904761904,mehdi ghayedi
Craig Goodwin,Australia,5,4.55,0,2,4,2024-10-10,1.25,40,0.125,craig goodwin
Jackson Irvine,Australia,5,4.55,0,2,4,2025-03-25,1.25,40,0.125,jackson irvine
Lamine Yamal,Spain,6,4.5,1,1,5,2025-06-05,1.2,43,0.13953488372093023,lamine yamal
Hwang Hee-chan,South Korea,5,4.4,1,1,5,2025-03-20,1.0,44,0.11363636363636363,hwang heechan
Takefusa Kubo,Japan,5,4.4,0,1,5,2025-06-10,1.0,41,0.12195121951219512,takefusa kubo
Saleh Al-Shehri,Saudi Arabia,5,4.4,2,1,3,2025-06-15,1.6666666666666667,58,0.08620689655172414,saleh alshehri
Eldor Shomurodov,Uzbekistan,5,4.25,0,0,5,2025-06-10,1.0,44,0.11363636363636363,eldor shomurodov
Jérémy Doku,Belgium,5,4.25,0,0,3,2025-11-18,1.6666666666666667,40,0.125,jeremy doku
Lee Jae-sung,South Korea,5,4.25,0,0,5,2025-06-10,1.0,44,0.11363636363636363,lee jaesung
Daichi Kamada,Japan,5,4.25,0,0,4,2025-06-10,1.25,41,0.12195121951219512,daichi kamada
Václav Černý,Czechia,5,4.25,0,0,4,2025-09-05,1.25,40,0.125,vaclav cerny
Thelo Aasgaard,Norway,5,4.25,1,0,2,2025-09-09,2.5,36,0.1388888888888889,thelo aasgaard
Gervane Kastaneer,Curaçao,5,4.25,0,0,3,2025-06-10,1.6666666666666667,36,0.1388888888888889,gervane kastaneer
João Cancelo,Portugal,5,4.25,0,0,5,2025-09-09,1.0,41,0.12195121951219512,joao cancelo
Randal Kolo Muani,France,6,4.25,1,1,5,2025-06-05,1.2,42,0.14285714285714285,randal kolo muani
Youri Tielemans,Belgium,5,4.15,1,1,4,2025-09-04,1.25,40,0.125,youri tielemans
Baghdad Bounedjah,Algeria,6,4.05,0,0,4,2025-09-04,1.5,51,0.11764705882352941,baghdad bounedjah
