player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,goals_total,xg_total,shots_total,shots_on_target_pct,league_difficulty,minutes,goals_per90,xg_per90,npxg_per90,shots_per90,has_club_stats,player_club_name,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,adj_xg_per90,adj_goals_per90,adj_shots_per90,player_skill,boot_score,predicted_goals,year,tournament_goals
Cristiano Ronaldo,Portugal,cristiano ronaldo,23,17.55,5,0,16,2025-10-14,43,1.4375,0.5348837209302325,25.0,0.0,113.0,0.0,0.35,2625.0,0.8571428571428571,0.0,0.0,3.874285714285714,True,Cristiano Ronaldo,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.0,0.8571428571428571,3.874285714285714,0.3533585239309491,0.23272605972498178,5.78,2026,
Ayase Ueda,Japan,ayase ueda,12,10.8,2,4,7,2024-09-10,41,1.7142857142857142,0.2926829268292683,,,,0.33,0.5,,0.2195121951219512,0.24878048780487802,0.24878048780487802,0.8195121951219512,False,,F,0.9734,0.0058,0.5480564732170767,4.39546,0.9508560125503036,0.4,0.24878048780487802,0.2195121951219512,0.8195121951219512,0.4044352941894741,0.22165338097799406,1.91,2026,
Mehdi Taremi,Iran,mehdi taremi,13,11.5,3,3,9,2025-06-10,42,1.4444444444444444,0.30952380952380953,,,,0.33,0.5,,0.23214285714285715,0.2630952380952381,0.2630952380952381,0.8666666666666667,False,,G,0.9475,0.0014,0.5233122094909591,4.2868200000000005,0.9426703219353165,0.4,0.2630952380952381,0.23214285714285715,0.8666666666666667,0.4188594314136968,0.21919425451922853,1.97,2026,
Romelu Lukaku,Belgium,romelu lukaku,18,14.549999999999999,2,0,10,2025-06-09,41,1.8,0.43902439024390244,28.0,0.0,78.0,0.0,1.0,5740.0,0.4390243902439024,0.0,0.0,1.2229965156794425,True,R. Lukaku,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.0,0.4390243902439024,1.2229965156794425,0.34950016537387796,0.21395218401371438,3.6,2026,
Gonçalo Ramos,Portugal,goncalo ramos,5,4.0,0,0,4,2025-11-16,43,1.25,0.11627906976744186,10.0,0.0,52.0,0.0,1.0,1062.0,0.847457627118644,0.0,0.0,4.406779661016949,True,Gonçalo Ramos,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.0,0.847457627118644,4.406779661016949,0.32185508112414885,0.21197752356222985,4.0,2026,
Ayoze Pérez,Spain,ayoze perez,1,0.6,0,0,1,2024-11-15,44,1.0,0.022727272727272728,19.0,0.0,57.0,0.0,1.0,1976.0,0.8653846153846154,0.0,0.0,2.5961538461538463,True,Ayoze Pérez,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.0,0.8653846153846154,2.5961538461538463,0.2260865495353059,0.19900837798393856,4.07,2026,
Lisandro Martínez,Argentina,lisandro martinez,1,1.0,0,1,1,2024-07-04,42,1.0,0.023809523809523808,35.5299240483774,0.0,123.15114595629998,0.0,0.6231367106176265,4323.0,0.7396930752611535,0.0,0.0,2.5638684099160303,True,A. Martínez,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.0,0.7396930752611535,2.5638684099160303,0.21106815167205886,0.19788905628165548,3.58,2026,
Memphis Depay,Netherlands,memphis depay,11,9.25,3,1,9,2025-11-14,43,1.2222222222222223,0.2558139534883721,,,,0.33,0.5,,0.19186046511627908,0.2174418604651163,0.2174418604651163,0.7162790697674418,False,,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.2174418604651163,0.19186046511627908,0.7162790697674418,0.32849586851300555,0.1921950709117111,1.83,2026,
Oihan Sancet,Spain,oihan sancet,1,0.85,0,0,1,2023-10-12,44,1.0,0.022727272727272728,15.0,0.0,38.00000000000001,0.0,1.0,1628.0,0.8292383292383293,0.0,0.0,2.100737100737101,True,Oihan Sancet,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.0,0.8292383292383293,2.100737100737101,0.21203494526866873,0.1866397210296735,3.91,2026,
Lamine Yamal,Spain,lamine yamal,6,4.5,1,1,5,2025-06-05,44,1.2,0.13636363636363635,18.0,0.0,190.0,0.0,1.0,5542.0,0.2923132443161313,0.0,0.0,3.085528690003609,True,Lamine Yamal,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.0,0.2923132443161313,3.085528690003609,0.2035982008309763,0.17921343746941243,1.97,2026,
