player,team,minutes,goals,assists,def_actions,key_passes,carries,duels_total,duels_won,duel_win_rate,goals_assists_per90,def_per90,creation_per90,pot_score,year
Denis Cheryshev,Russia,220.0,5.0,0.0,102.0,0.0,72.0,7.0,0.0,0.0,2.0454545454545454,41.72727272727273,2.9454545454545453,0.6603891859774214,2018
Renato Soares de Oliveira Augusto,Brazil,90.0,1.0,0.0,19.0,0.0,41.0,,,0.5,1.0,19.0,4.1000000000000005,0.5592368675865408,2018
Harry Kane,England,373.0,7.0,0.0,128.0,0.0,125.0,11.0,0.0,0.0,1.6890080428954422,30.884718498659513,3.016085790884718,0.5518461569912445,2018
Mohamed Salah,Egypt,131.5,2.0,0.0,41.0,0.0,53.0,4.0,0.0,0.0,1.3688212927756656,28.060836501901143,3.627376425855514,0.4995580572744519,2018
Diego da Silva Costa,Spain,206.0,3.0,0.0,73.0,0.0,67.0,7.0,0.0,0.0,1.3106796116504855,31.893203883495147,2.9271844660194177,0.4786357531146223,2018
Adnan Januzaj,Belgium,90.0,1.0,0.0,44.0,0.0,33.0,1.0,0.0,0.0,1.0,44.0,3.3000000000000003,0.4768197772936335,2018
Karim Ansarifard,Iran,103.5,1.0,0.0,60.0,0.0,30.0,7.0,0.0,0.0,0.8695652173913044,52.173913043478265,2.608695652173913,0.45859303463736545,2018
Ahmed Musa,Nigeria,175.5,2.0,0.0,69.0,0.0,69.0,3.0,0.0,0.0,1.0256410256410258,35.38461538461539,3.5384615384615388,0.4572603020315439,2018
Kendall Jamaal Waston Manley,Costa Rica,90.0,1.0,0.0,6.0,0.0,25.0,,,0.5,1.0,6.0,2.5,0.45458787218591146,2018
Edinson Roberto Cavani Gómez,Uruguay,245.0,3.0,0.0,88.0,0.0,90.0,6.0,0.0,0.0,1.1020408163265305,32.326530612244895,3.3061224489795915,0.4525494642301364,2018
Khalid Boutaïb,Morocco,99.5,1.0,0.0,57.0,0.0,25.0,8.0,0.0,0.0,0.9045226130653266,51.55778894472361,2.2613065326633164,0.45110684139652507,2018
Michy Batshuayi Tunga,Belgium,90.0,1.0,0.0,39.0,0.0,31.0,3.0,0.0,0.0,1.0,39.0,3.1,0.45089143064633264,2018
Sergio Leonel Agüero del Castillo,Argentina,149.5,2.0,0.0,41.0,0.0,56.0,4.0,0.0,0.0,1.2040133779264213,24.682274247491637,3.37123745819398,0.44563723668583005,2018
Romelu Lukaku Menama,Belgium,274.0,4.0,0.0,66.0,0.0,93.0,4.0,0.0,0.0,1.3138686131386863,21.67883211678832,3.0547445255474455,0.4447754162492248,2018
Alan Dzagoev,Russia,90.0,1.0,0.0,15.0,0.0,11.0,,,0.5,1.0,15.0,1.1,0.4405791575889615,2018
