player,team,minutes,goals,assists,def_actions,key_passes,carries,duels_total,duels_won,duel_win_rate,goals_assists_per90,def_per90,creation_per90,pot_score,year
Bassam Hisham Al Rawi,Qatar,90.0,0.0,0.0,8.0,0.0,39.0,,,0.5,0.0,8.0,3.9000000000000004,0.31217273954116054,2022
André Ayew Pelé,Ghana,114.5,1.0,0.0,49.0,0.0,36.0,18.0,0.0,0.0,0.7860262008733625,38.515283842794766,2.829694323144105,0.3099856660850597,2022
Yann Sommer,Switzerland,162.5,0.0,0.0,1.0,0.0,79.0,,,0.5,0.0,0.5538461538461539,4.375384615384616,0.3094098651270871,2022
Jordan Pickford,England,215.5,0.0,0.0,0.0,0.0,104.0,,,0.5,0.0,0.0,4.34338747099768,0.30677315723719434,2022
Eray Ervin Cömert,Switzerland,90.0,0.0,0.0,11.0,0.0,35.0,,,0.5,0.0,11.0,3.5,0.305761185508149,2022
Gue-Sung Cho,South Korea,183.5,2.0,0.0,75.0,0.0,43.0,16.0,0.0,0.0,0.9809264305177112,36.78474114441417,2.1089918256130793,0.30532888054261703,2022
Salem Mohammed Al Dawsari,Saudi Arabia,238.0,2.0,0.0,50.0,0.0,112.0,8.0,0.0,0.0,0.7563025210084033,18.907563025210084,4.23529411764706,0.30429792284400525,2022
Youssef En-Nesyri,Morocco,246.5,2.0,0.0,134.0,0.0,57.0,21.0,0.0,0.0,0.7302231237322515,48.92494929006085,2.081135902636917,0.3033767039392352,2022
Aleksandar Mitrović,Serbia,170.0,2.0,0.0,47.0,0.0,50.0,23.0,0.0,0.0,1.0588235294117647,24.88235294117647,2.6470588235294117,0.30329240478502206,2022
Michy Batshuayi Tunga,Belgium,90.0,1.0,0.0,20.0,0.0,32.0,4.0,0.0,0.0,1.0,20.0,3.2,0.30234506384303955,2022
Phil Foden,England,107.0,1.0,0.0,17.0,0.0,50.0,3.0,0.0,0.0,0.8411214953271028,14.299065420560748,4.205607476635514,0.30220583741053675,2022
Keysher Fuller Spence,Costa Rica,132.5,1.0,0.0,50.0,0.0,49.0,5.0,0.0,0.0,0.6792452830188679,33.96226415094339,3.328301886792453,0.3015639634981167,2022
Manuel Neuer,Germany,168.5,0.0,0.0,0.0,0.0,78.0,,,0.5,0.0,0.0,4.166172106824926,0.300376626341018,2022
Ao Tanaka,Japan,120.5,1.0,0.0,46.0,0.0,40.0,4.0,0.0,0.0,0.7468879668049793,34.35684647302905,2.987551867219917,0.29933940771543877,2022
Abdelhamid Sabiri,Morocco,121.0,1.0,0.0,37.0,0.0,47.0,3.0,0.0,0.0,0.743801652892562,27.52066115702479,3.495867768595041,0.29898560217846193,2022
Cody Mathès Gakpo,Netherlands,326.0,3.0,0.0,74.0,0.0,134.0,13.0,0.0,0.0,0.8282208588957055,20.429447852760735,3.6993865030674846,0.2986153330289094,2022
Henry Josué Martín Mex,Mexico,90.0,1.0,0.0,32.0,0.0,22.0,5.0,0.0,0.0,1.0,32.0,2.2,0.29835565244472123,2022
Jean-Charles Castelletto,Cameroon,132.5,1.0,0.0,28.0,0.0,63.0,2.0,0.0,0.0,0.6792452830188679,19.0188679245283,4.279245283018868,0.29590781687947676,2022
Matthew Charles Turner,United States,167.0,0.0,0.0,0.0,0.0,75.0,,,0.5,0.0,0.0,4.04191616766467,0.29589164865535195,2022
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,90.0,1.0,0.0,36.0,0.0,18.0,12.0,0.0,0.0,1.0,36.0,1.8,0.294619537008201,2022
Francisco Guillermo Ochoa Magaña,Mexico,133.0,0.0,0.0,0.0,0.0,59.0,,,0.5,0.0,0.0,3.992481203007519,0.29410730969435417,2022
Raheem Sterling,England,118.5,1.0,0.0,22.0,0.0,54.0,4.0,0.0,0.0,0.759493670886076,16.70886075949367,4.101265822784811,0.29400320890609416,2022
Hee-Chan Hwang,South Korea,144.0,1.0,0.0,33.0,0.0,68.0,3.0,0.0,0.0,0.625,20.625,4.25,0.2919166212498702,2022
Milan Borjan,Canada,126.0,0.0,0.0,0.0,0.0,54.0,,,0.5,0.0,0.0,3.8571428571428577,0.28922231614539307,2022
Saleh Khalid Al Shehri,Saudi Arabia,143.5,1.0,0.0,63.0,0.0,44.0,11.0,0.0,0.0,0.627177700348432,39.512195121951216,2.759581881533101,0.28894235516631084,2022
Thibaut Courtois,Belgium,157.0,0.0,0.0,0.0,0.0,67.0,,,0.5,0.0,0.0,3.8407643312101913,0.28863113858214295,2022
Matheus Luiz Nunes,Portugal,90.0,0.0,0.0,7.0,0.0,33.0,,,0.5,0.0,7.0,3.3000000000000003,0.28784049621094154,2022
Kasper Schmeichel,Denmark,125.0,0.0,0.0,0.0,0.0,53.0,,,0.5,0.0,0.0,3.8160000000000007,0.28773727810650884,2022
André Onana,Cameroon,90.0,0.0,0.0,0.0,0.0,38.0,,,0.5,0.0,0.0,3.8000000000000003,0.28715976331360943,2022
Vanja Milinković Savić,Serbia,171.5,0.0,0.0,0.0,0.0,72.0,,,0.5,0.0,0.0,3.778425655976677,0.2863810443873238,2022
Diogo Meireles Costa,Portugal,207.0,0.0,0.0,1.0,0.0,86.0,,,0.5,0.0,0.4347826086956522,3.739130434782609,0.286125930339097,2022
Aymen Dahmen,Tunisia,100.5,0.0,0.0,0.0,0.0,42.0,,,0.5,0.0,0.0,3.7611940298507465,0.285759074450234,2022
Carlos Soler Barragán,Spain,129.0,1.0,0.0,10.0,0.0,69.0,1.0,0.0,0.0,0.6976744186046512,6.976744186046512,4.813953488372094,0.28544719097868515,2022
Damián Emiliano Martínez,Argentina,240.5,0.0,0.0,0.0,0.0,99.0,,,0.5,0.0,0.0,3.704781704781705,0.28372288993590766,2022
Dominik Livaković,Croatia,301.5,0.0,0.0,2.0,0.0,122.0,,,0.5,0.0,0.5970149253731343,3.6417910447761197,0.28304653933694957,2022
Yassine Bounou,Morocco,263.5,0.0,0.0,1.0,0.0,107.0,,,0.5,0.0,0.3415559772296015,3.654648956356737,0.28282717674124225,2022
Ramin Rezaeian,Iran,171.5,1.0,0.0,49.0,0.0,76.0,15.0,0.0,0.0,0.5247813411078718,25.714285714285715,3.9883381924198256,0.28272560703776106,2022
Giovanni Reyna,United States,90.0,0.0,0.0,6.0,0.0,32.0,,,0.5,0.0,6.0,3.2,0.281555590158829,2022
Seung-Gyu Kim,South Korea,165.5,0.0,0.0,0.0,0.0,67.0,,,0.5,0.0,0.0,3.6435045317220545,0.2815111103165948,2022
Alisson Ramsés Becker,Brazil,124.0,0.0,0.0,0.0,0.0,49.0,,,0.5,0.0,0.0,3.556451612903226,0.2783689635426608,2022
Wayne Hennessey,Wales,91.0,0.0,0.0,1.0,0.0,35.0,,,0.5,0.0,0.989010989010989,3.4615384615384617,0.277589142405399,2022
Mathew Ryan,Australia,214.5,0.0,0.0,0.0,0.0,84.0,,,0.5,0.0,0.0,3.5244755244755246,0.27721479703728225,2022
Noah Okafor,Switzerland,90.0,0.0,0.0,16.0,0.0,23.0,,,0.5,0.0,16.0,2.3000000000000003,0.27582476902314956,2022
Harry Kane,England,253.5,2.0,0.0,48.0,0.0,105.0,17.0,0.0,0.0,0.7100591715976331,17.041420118343193,3.727810650887574,0.27482194158762685,2022
