team,group,p_qualify,p_top_group,expected_points,team_win_prob,fifa_rank,fifa_points,last5_win_rate,last20_win_rate,group_opponent_fifa,group_difficulty,expected_knockout_matches,progression_factor,expected_tournament_matches,sim_score,fifa_expected,surprise_delta,year
Algeria,J,0.4695,0.022,3.8854,0.0,28,1564.26,0.4,0.725,1619.9033333333334,1.0355716654094163,0.5809999999999998,0.2740937140944838,3.581,0.3026005532442501,0.024234693877551016,0.2784,2026
Sweden,F,0.5002,0.0227,2.6886,0.0,38,1514.77,0.1,0.475,1633.7833333333335,1.0785685835693428,0.6184,0.25935372254049704,3.6184,0.2882850075802983,0.014724310776942353,0.2736,2026
Tunisia,F,0.5174,0.0169,2.0368,0.0,44,1483.05,0.0,0.5,1644.3566666666666,1.1087668431048627,0.6344,0.25750859246392516,3.6344,0.28070457838263463,0.011093073593073594,0.2696,2026
Norway,I,0.4598,0.0073,2.8191,0.0,31,1550.94,0.3,0.675,1671.1499999999999,1.0775078339587603,0.5575999999999999,0.25834921683147016,3.5576,0.27317238409195077,0.02073732718894009,0.2524,2026
Saudi Arabia,H,0.446,0.0047,2.1475,0.0,61,1421.43,0.3,0.425,1638.5333333333335,1.1527358598969584,0.53896,0.25134399337067637,3.53896,0.25117655983734677,0.004683840749414521,0.2465,2026
Paraguay,D,0.3968,0.0358,2.4906,0.0,40,1503.5,0.2,0.525,1617.6133333333335,1.0758984591508702,0.5047999999999999,0.21894214608415735,3.5048,0.23710105701089446,0.013392857142857144,0.2237,2026
Bosnia and Herzegovina,B,0.3343,0.0191,2.1857,0.0,65,1385.84,0.2,0.475,1553.6133333333335,1.1210625565240817,0.41644,0.18690167693202553,3.41644,0.20180944323002972,0.003663003663003664,0.1981,2026
South Africa,A,0.3091,0.0221,2.1101,0.0,60,1429.73,0.3,0.525,1590.3566666666666,1.1123475528013447,0.38859999999999995,0.1846034032652606,3.3886,0.1886924802853483,0.00496031746031746,0.1837,2026
Panama,L,0.2261,0.0165,2.617,0.0001,33,1540.64,0.3,0.575,1629.7833333333335,1.0578612351576835,0.28476999999999997,0.14326315519479818,3.28477,0.16341206826773708,0.01875901875901876,0.1447,2026
Congo DR,K,0.2014,0.0154,2.2456,0.0,46,1478.35,0.1,0.625,1640.7533333333333,1.1098544548539475,0.254,0.11079856003442151,3.254,0.14341238080127866,0.010093167701863354,0.1333,2026
Cape Verde,H,0.2031,0.0018,1.3444,0.0,69,1366.13,0.2,0.525,1656.966666666667,1.2128909157010437,0.24516,0.12077419440172746,3.24516,0.12299485427023471,0.0027605244996549345,0.1202,2026
Uzbekistan,K,0.177,0.0102,2.0079,0.0,50,1465.34,0.0,0.5,1645.0900000000001,1.1226677767617073,0.22055999999999998,0.08837408189445671,3.22056,0.12684528963790853,0.008333333333333333,0.1185,2026
Iraq,I,0.1589,0.0017,1.442,0.0,57,1447.14,0.1,0.525,1705.75,1.1787042027723647,0.19204000000000002,0.0888616262559461,3.19204,0.1053989228337388,0.005847953216374268,0.0996,2026
Haiti,C,0.1403,0.0007,0.6933,0.0,83,1291.71,0.2,0.45,1671.793333333333,1.2942481929638487,0.16892000000000001,0.08957943921659244,3.16892,0.07943087843316998,0.00028686173264486596,0.0791,2026
New Zealand,G,0.1085,0.0039,0.886,0.0,85,1281.57,0.0,0.375,1637.75,1.2779247329447476,0.13332,0.05402285363696485,3.13332,0.06965025355803922,0.0,0.0697,2026
Curaçao,E,0.1117,0.001,0.8382,0.0,82,1294.65,0.2,0.475,1619.3766666666663,1.2508219724764733,0.13484,0.07542396627969053,3.13484,0.06996672407714274,0.00043554006968641175,0.0695,2026
Jordan,J,0.0681,0.0008,1.1964,0.0,63,1391.45,0.0,0.375,1677.506666666667,1.2055817073316806,0.08235999999999999,0.033802392930846276,3.08236,0.058766143743609625,0.004157218442932728,0.0546,2026
Ghana,L,0.0459,0.0014,0.9368,0.0,74,1346.31,0.1,0.375,1694.5600000000002,1.2586699942806636,0.05620000000000001,0.03283798060604129,3.0562,0.04267429744150243,0.0017696267696267706,0.0409,2026
France,I,0.9942,0.8791,8.2852,0.1862,1,1877.32,0.2,0.65,1562.3566666666668,0.8322271464996202,2.36182,0.853255398361387,5.36182,0.9307502222842147,1.0,-0.0692,2026
