player,team,intl_goals,attack_score,player_norm,playmaker_score,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,pot_score,goals,assists,year
Zeki Amdouni,Switzerland,9,0.1706959020290464,zeki amdouni,0.3211790393013101,B,0.9825,0.0016,0.5532199526628822,4.60884,0.8882525483921797,0.3,0.18731138335281675,9,0,2026
Jamal Musiala,Germany,6,0.17882541969148374,jamal musiala,0.23864628820960698,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.18689863450807861,6,0,2026
Scott McTominay,Scotland,13,0.13397256955327527,scott mctominay,0.4606986899563319,C,0.8598,0.0001,0.46723844558592176,4.04449,1.0674143351914183,0.4,0.18393198688642431,13,0,2026
Bukayo Saka,England,6,0.1394861068679384,bukayo saka,0.25633187772925764,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.181029890487754,6,0,2026
Florian Wirtz,Germany,7,0.14316058376404692,florian wirtz,0.25633187772925764,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.17513827680049374,7,0,2026
Luis Díaz,Colombia,9,0.14640712962736116,luis diaz,0.3624454148471616,K,0.9,0.0129,0.522522265762005,4.32737,0.9226621917351155,0.4,0.1732424267308898,9,0,2026
Michael Olise,France,4,0.14722496678951422,michael olise,0.16397379912663756,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.1731932564309132,4,0,2026
Bernardo Silva,Portugal,6,0.1486235885989836,bernardo silva,0.24650655021834067,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.17241372737809701,6,0,2026
Bruno Fernandes,Portugal,12,0.16963439547643874,bruno fernandes,0.05,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.1705161340495606,12,0,2026
Bradley Barcola,France,3,0.16333941396477028,bradley barcola,0.13056768558951964,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.16775784412970213,3,0,2026
Ayoze Pérez,Spain,1,0.19900837798393856,ayoze perez,0.05,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.16601349635612211,1,0,2026
Almoez Ali,Qatar,14,0.14211960704522597,almoez ali,0.5294759825327511,B,0.7175,0.0,0.3682948250801426,3.8951599999999997,1.056500564247184,0.1,0.16097248937749653,14,0,2026
Marko Arnautović,Austria,13,0.154583983573425,marko arnautovic,0.4705240174672489,J,0.6875,0.0007,0.3844278726605783,3.86027,1.0091481991569633,0.4,0.16033165960831294,13,0,2026
Wout Weghorst,Netherlands,6,0.16105442685475957,wout weghorst,0.23668122270742364,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.15783927596558558,6,0,2026
Fabián Ruiz,Spain,4,0.10925662937218532,fabian ruiz,0.17576419213973798,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.15756580208699542,4,0,2026
Donyell Malen,Netherlands,7,0.12828458237402193,donyell malen,0.2858078602620088,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.15602095923576798,7,0,2026
Gonçalo Ramos,Portugal,5,0.21197752356222985,goncalo ramos,0.05,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.1558545827481747,5,0,2026
Oihan Sancet,Spain,1,0.1866397210296735,oihan sancet,0.05,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.15566731217524687,1,0,2026
Jesús Ferreira,United States,7,0.13119380061389443,jesus ferreira,0.3251091703056769,D,0.9385,0.0071,0.5339178658977747,4.62307,0.935522539287431,0.2,0.15201511631721543,7,0,2026
Akram Afif,Qatar,12,0.14606583782289193,akram afif,0.49803493449781666,B,0.7175,0.0,0.3682948250801426,3.8951599999999997,1.056500564247184,0.1,0.15127377241968398,12,0,2026
João Félix,Portugal,6,0.11062116003356054,joao felix,0.24061135371179038,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.14711888273427243,6,0,2026
Raphinha,Brazil,6,0.17637505769101527,raphinha,0.05,C,0.9973,0.0613,0.6735325361218968,4.94313,0.8591734339075576,0.4,0.14261149017159974,6,0,2026
Kerem Aktürkoğlu,Türkiye,11,0.11267395915815578,kerem akturkoglu,0.37423580786026206,D,0.7702,0.0013,0.4369215627223124,4.09421,0.9872809667046556,0.4,0.14066076547724093,11,0,2026
